CFR Form/Schedule/Rule	Submission Type	Description
Form 3	3	Initial statement of beneficial ownership of securities
Form 4	4	Statement of changes in beneficial ownership of securities
6-K	6-K	Current report of foreign issuer pursuant to Rules 13a-16 and 15d-16
8-K	8-K	Current report filing
	8-K12B	Notification that a class of securities of successor issuer is deemed to be registered pursuant to Section 12(b)
	8-K12G3	Notification that a class of securities of successor issuer is deemed to be registered pursuant to Section 12(g)
	8-K15D5	Notification of assumption of duty to report by successor issue under Section 15(d)
10-K	10-K	Annual report pursuant to Section 13 and 15(d)
	10-KT	Transition report pursuant to Rule 13a-10 or 15d-10
	10-K405	"An officer or director of a public company failed to file a Form 4 (or related Form 3 or Form 5) on time, in violation of Section 16"
10-Q	10-Q	Quarterly report pursuant to Sections 13 or 15(d)
	10-QT	Transition report pursuant to Rule 13a-10 or 15d-10
11-K	11-K	"Annual report of employee stock purchase, savings and similar plans"
	11-KT	Transition report pursuant to rule 13a-10 or 15d-10
12b-25	NT 10-Q	Notice under Rule 12b25 of inability to timely file all or part of a form 10-Q or 10-QSB
	NT 10-K	"Notice under Rule 12b25 of inability to timely file all or part of a form 10-K, 10-KSB, or 10-KT"
	NT 10-D	Notice under Rule 12b25 of inability to timely file all or part of a Form 10-D
	NT 11-K	Notice under Rule 12b25 of inability to timely file all or part of a form 11-K
	NT 15D2	Notice under Rule 12b25 of inability to timely file a special report pursuant to Section 15d-2
	NT 20-F	Notice under Rule 12b25 of inability to timely file all or part of an annual report of form 20-F
Schedule 13D	SC 13D	Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities
Form 13F	13F-HR	Initial Quarterly Form 13F Holdings or Combination Report filed by institutional managers 
	13F-NT	Initial Quarterly Form 13F Notice Report filed by institutional managers
Schedule 13G	SC 13G	Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities by passive investors and certain institutions
13H	13H	Large Trader Registration Information Required of Large Traders Pursuant to the Securities Exchange Act of 1934 and Rule 13h-1 Thereunder
	13H-Q	Amended Filing
	13H-A	Annual Filing
	13H-I	Inactive Status
	13H-R	Reactivated Status
	13H-T	Termination Filing
20-F	20-F	Annual and transition report of foreign private issuers pursuant to Section 13 or 15(d)
	20FR12B	Form for initial registration of a class of securities of foreign private issuers pursuant to Section 12(b)
